index,class,comment_sentence,partition,combo,labels
1,Abfss.java,this impl delegates to the old filesystem,0,this impl delegates to the old filesystem | Abfss.java,"[0, 0, 1, 0, 0, 0, 0]"
2,AbstractContractGetFileStatusTest.java,test getfilestatus and related listing operations.,0,test getfilestatus and related listing operations. | AbstractContractGetFileStatusTest.java,"[1, 0, 0, 0, 0, 0, 0]"
15,AbstractContractGetFileStatusTest.java,a filesystem filter which exposes the protected method,0,a filesystem filter which exposes the protected method | AbstractContractGetFileStatusTest.java,"[0, 0, 1, 0, 0, 0, 0]"
16,AbstractContractGetFileStatusTest.java,"@link #listlocatedstatus path, pathfilter .",0,"@link #listlocatedstatus path, pathfilter . | AbstractContractGetFileStatusTest.java","[0, 0, 1, 0, 0, 0, 0]"
18,ApplicationConstants.java,the type of launch for the container.,0,the type of launch for the container. | ApplicationConstants.java,"[0, 0, 1, 0, 0, 0, 0]"
22,AutoInputFormat.java,it can currently handle text and sequence files.,0,it can currently handle text and sequence files. | AutoInputFormat.java,"[0, 0, 1, 0, 0, 0, 0]"
25,BalancingPolicy.java,cluster is balanced if each pool in each node is balanced.,0,cluster is balanced if each pool in each node is balanced. | BalancingPolicy.java,"[0, 0, 0, 0, 0, 0, 1]"
28,BatchedRequests.java,to place as a batch.,0,to place as a batch. | BatchedRequests.java,"[1, 0, 0, 0, 0, 0, 0]"
32,BatchedRequests.java,iterator type.,0,iterator type. | BatchedRequests.java,"[1, 0, 0, 0, 0, 0, 0]"
34,BlocksMap.java,this class maintains the map from a block to its metadata.,0,this class maintains the map from a block to its metadata. | BlocksMap.java,"[1, 0, 0, 0, 0, 0, 0]"
37,BlockUtils.java,utils functions to help block functions.,0,utils functions to help block functions. | BlockUtils.java,"[1, 0, 0, 0, 0, 0, 1]"
38,CapacitySchedulerPlanFollower.java,this class implements a @link planfollower .,0,this class implements a @link planfollower . | CapacitySchedulerPlanFollower.java,"[1, 0, 0, 0, 0, 0, 0]"
39,CapacitySchedulerPlanFollower.java,"this is invoked on a timer, and",0,"this is invoked on a timer, and | CapacitySchedulerPlanFollower.java","[1, 0, 0, 0, 0, 0, 0]"
41,CapacitySchedulerPlanFollower.java,@link capacityscheduler .,0,@link capacityscheduler . | CapacitySchedulerPlanFollower.java,"[1, 0, 0, 0, 0, 0, 0]"
43,CapacitySchedulerPlanFollower.java,"adding removing resizing leaf queues in the scheduler, thus affecting the",0,"adding removing resizing leaf queues in the scheduler, thus affecting the | CapacitySchedulerPlanFollower.java","[0, 0, 1, 0, 0, 0, 0]"
44,CapacitySchedulerPlanFollower.java,dynamic behavior of the scheduler in a way that is consistent with the,0,dynamic behavior of the scheduler in a way that is consistent with the | CapacitySchedulerPlanFollower.java,"[0, 0, 1, 0, 0, 0, 0]"
45,CapacitySchedulerPlanFollower.java,content of the plan.,0,content of the plan. | CapacitySchedulerPlanFollower.java,"[0, 0, 1, 0, 0, 0, 0]"
47,CapacitySchedulerPlanFollower.java,are available in the cluster.,0,are available in the cluster. | CapacitySchedulerPlanFollower.java,"[0, 0, 1, 0, 0, 0, 0]"
