index,labels,comment_length,word_count,comment_clean
1,[0 0 1 0 0 0 0],41,7,impl delegate old filesystem
2,[1 0 0 0 0 0 0],50,6,test getfilestatus related listing operation
15,[0 0 1 0 0 0 0],54,8,filesystem filter expose protected method
16,[0 0 1 0 0 0 0],43,5,link listlocatedstatus path pathfilter
18,[0 0 1 0 0 0 0],37,7,type launch container
22,[0 0 1 0 0 0 0],48,8,currently handle text sequence file
25,[0 0 0 0 0 0 1],58,11,cluster balanced pool node balanced
28,[1 0 0 0 0 0 0],20,5,place batch
32,[1 0 0 0 0 0 0],14,2,iterator type
34,[1 0 0 0 0 0 0],58,11,class maintains map block metadata
37,[1 0 0 0 0 0 1],40,6,utils function help block function
38,[1 0 0 0 0 0 0],44,7,class implement link planfollower
39,[1 0 0 0 0 0 0],31,7,invoked timer
41,[1 0 0 0 0 0 0],25,3,link capacityscheduler
43,[0 0 1 0 0 0 0],73,11,adding removing resizing leaf queue scheduler thus affecting
44,[0 0 1 0 0 0 0],70,13,dynamic behavior scheduler way consistent
45,[0 0 1 0 0 0 0],20,4,content plan
47,[0 0 1 0 0 0 0],29,5,available cluster
48,[0 0 0 0 0 0 1],71,10,implementation planfollower relatively stateless
50,[0 0 0 0 0 0 1],35,5,difference among existing queue
52,[0 0 0 0 0 0 1],65,11,synchronization rm restart issue catch necessary
53,[0 0 1 0 0 0 0],58,9,output likely include wildcards classpath
56,[0 0 0 0 1 0 0],210,28,code source file http grepcodecom file repomavenorg maven orgapachemaven maven artifact org apache maven artifact versioning comparableversionjava modification made top source
58,[1 0 0 1 0 0 0],45,5,generic implementation version comparison
59,[0 0 0 1 0 0 0],10,2,p feature
61,[0 0 0 1 0 0 0],40,9,li code milestone code code code li
62,[0 0 0 1 0 0 0],34,9,li code rc code code cr code li
64,[0 0 0 1 0 0 0],67,15,li code empty string code code ga code code final code li
67,[0 0 0 1 0 0 0],102,14,unknown qualifier considered known qualifier lexical order always case insensitive
71,[1 0 0 1 0 0 0],51,9,represents numeric item version item list
72,[1 0 0 1 0 0 0],66,11,represents string version item list usually qualifier
73,[1 0 0 1 0 0 0],31,5,represents version list item
74,[1 0 0 1 0 0 0],78,16,class used global item list sub list start
75,[1 0 0 0 0 0 0],42,7,number version specification
76,[1 0 0 0 0 0 0],54,9,exception throw case configuration problem
77,[1 0 0 0 0 0 1],45,7,utility sampling computing cpu usage
78,[1 0 0 0 0 0 0],47,7,user visible configs based rocksdb tuning page
79,[0 0 0 1 1 0 0],26,3,documentation option
81,[0 0 0 1 1 0 0],71,9,http githubcom facebook rocksdb blob master include rocksdb optionsh
83,[0 0 0 1 1 0 0],45,8,tuning parameter based url
85,[0 0 0 1 1 0 0],69,10,http githubcom facebook rocksdb wiki setup option basic tuning
86,[1 0 0 0 0 0 0],30,4,default rumen json serializer
