index,labels,comment_length,word_count,comment_clean
0,[0 0 1 0 0 0],118,19,relative anchor take arbitrary element reference compute position based property element
2,[0 0 0 1 0 0],35,7,simple arrow like arrowhead
3,[0 0 0 1 0 0],56,11,size arrow length depend curve width
4,[0 0 0 0 1 0],143,27,possible hovewer customize length fraction long outer arrow compared length side nose triangle
8,[0 0 0 1 0 0],29,6,triangular arrow head
10,[1 0 0 0 0 0],101,18,possible border around triangle specifying border width triangle arrowhead
13,[0 0 1 0 0 0],70,12,solid arrowhead make background paint border paint
16,[0 1 0 0 0 0],14,2,blchicken open
21,[0 0 1 0 0 0],76,12,provide data structure independent api adding removing child
23,[0 0 1 0 0 0],76,11,allow element optimize working child different scenarious
26,[0 0 1 0 0 0],127,21,rope us balanced binary tree support fast adding removing accessing disadvantage taking memory
33,[0 0 1 0 0 0],63,11,capture subset child class blelement instance
34,[0 0 0 1 0 0],23,5,abstract class
35,[0 0 1 0 0 0],96,15,exist explicitly capture combine various way filtering iterating child
40,[0 0 0 0 1 0],28,7,enforce lazy api
41,[0 0 0 0 1 0],3,1,api
42,[0 0 0 0 1 0],156,25,instance created calling factory method method blchildrensubset class subclass instance class blchildren parameter
43,[1 0 0 0 0 0],22,2,implementation detail
47,[1 0 1 0 0 0],124,23,click event fired pointing device button mouse primary button pressed released single element
48,[1 0 0 0 0 0],25,5,order fired event
50,[1 0 0 0 0 0],8,2,mouse
52,[0 0 1 0 0 0],25,4,class contains test
58,[1 0 0 0 0 0],61,11,setting factor f produce upside x parabola
60,[1 0 0 0 0 0],13,3,formula
68,[0 1 0 0 0 0],83,18,see configure fire check click event child element
69,[0 0 1 0 0 0],62,10,drag delegate provides drag item visual element lift
70,[0 0 1 0 0 0],45,9,drag gesture fails drag item
71,[0 0 1 0 0 0],40,7,contain example element bound api
74,[0 0 1 1 0 0],155,24,dynamic element transformation sense transformation matrix may actually depend element property extent position
75,[1 0 0 0 0 0],100,15,mean matrix computation performed requested taking owner element account
76,[0 0 0 1 0 0],41,8,abstract root class effect
77,[0 0 1 0 0 0],54,10,define default drawing strategy
78,[0 0 1 0 0 0],62,14,influence bound owner used clip owner
80,[0 0 1 0 0 0],59,8,contain example position change logging functionality
81,[0 0 0 0 0 1],58,12,sent element removed parent
85,[0 1 0 0 0 0],69,10,child blelementremovedevent self inform removed parent
86,[0 1 0 0 0 0],21,3,parent blelement new
87,[0 1 0 0 0 0],22,3,parent addchild child
90,[0 0 1 1 0 0],105,19,example custom non element event target nicely integrated bloc infrastructure
91,[0 0 1 1 0 0],84,13,element broken onlayout method throw error subscriptoutofbounds
92,[0 0 1 0 0 0],92,12,contain experimental example work manually prepared laboratory environment
94,[0 1 0 0 0 0],21,4,inspect run example
95,[0 1 0 0 0 0],65,14,click one cell give focus blue border appear
97,[0 0 1 0 0 1],81,15,geometry used define geometry drawn interaction area
98,[0 0 1 1 0 1],69,13,event listener listens anchor moved event send anchor
99,[0 0 1 0 0 0],40,8,sent anchor position changed
100,[0 0 1 1 0 0],75,13,root class geometry element element driven geometry anchor
103,[1 0 0 0 0 0],63,11,grid consists cell separated invisible line
105,[1 0 0 0 0 0],39,9,index lie closed interval n
106,[1 0 0 0 0 0],82,12,grid layout support fitcontent matchparent exact resizing mode owner
107,[1 0 0 0 0 0],65,10,child allowed fitcontent exact resizing mode
108,[1 0 0 0 0 0],148,27,child matchparent make sense case grid user use fill declare child take available cell space
110,[1 0 0 0 0 0],108,19,user specify amount column row sending columncount rowcount instance grid layout
112,[0 0 0 0 1 0],27,5,public api key message
116,[0 0 0 0 1 0],143,21,alignmargins bound element extended outwards according margin edge resulting rectangle aligned
118,[1 0 0 0 0 0],54,6,internal representation key implementation point
127,[0 1 0 0 0 0],8,1,registry
128,[0 0 1 1 0 0],88,17,fallback host chosen available supported host
