index,labels,comment_length,word_count,comment_clean
1,[0 0 0 0 1],14,1,functionality
8,[1 0 0 0 0],62,13,used decorator call wrap execution
12,[1 0 0 0 0],70,11,exit commits transaction release savepoint normal exit
14,[1 0 0 0 0],69,14,possible disable creation savepoints goal
16,[1 0 0 0 0],70,12,stack savepoints identifier maintained attribute
18,[1 0 0 0 0],40,7,none denotes absence savepoint
24,[0 0 0 1 0],68,12,implementation basic test decorator
27,[0 0 0 1 0],75,13,intended autofieldmixin become public api possible
29,[0 0 0 1 0],23,4,stored database
31,[1 0 0 0 0],57,8,automatically generated field subclass autofield
33,[1 0 0 0 0],46,9,implemented field used instead
34,[0 0 1 0 0],70,12,issue addressed metaclass could used
38,[0 0 0 0 1],39,7,service specific account type bar
40,[0 0 0 0 1],7,1,derive
41,[0 0 1 0 0],64,13,use class want access mechanism
42,[0 0 1 0 0],66,13,parse command line argument work code call
43,[0 0 1 0 0],58,12,response need change behavior
46,[1 0 0 0 0],65,10,command parsing execution behavior normal flow work
49,[1 0 0 0 0],49,8,django admin managepy load command class
52,[1 0 0 0 0],51,10,run argv method call create parser get
54,[1 0 0 0 0],49,7,environment change requested option like
55,[1 0 0 0 0],47,8,pythonpath call execute method
56,[1 0 0 0 0],29,4,passing parsed argument
59,[1 0 0 0 0],55,9,calling handle method parsed argument
61,[1 0 0 0 0],60,12,output command intended produce block
62,[1 0 0 0 0],53,10,sql statement wrapped begin commit
63,[1 0 0 0 0],1,1,
64,[1 0 0 0 0],44,8,handle execute raised exception eg
65,[1 0 0 0 0],56,10,commanderror run argv instead print error
66,[1 0 0 0 0],19,4,message stderr
68,[0 0 1 0 0],64,10,subclass many built command command type either place
69,[0 0 1 0 0],57,11,logic handle perform additional
70,[0 0 1 0 0],56,11,parsing work handle delegate
71,[0 0 1 0 0],30,4,specialized method needed
74,[0 1 0 0 0],60,11,short description command printed
75,[0 1 0 0 0],18,2,output transaction
76,[0 1 0 0 0],52,8,boolean indicating whether command output sql
78,[0 1 0 0 0],31,6,wrapped begin commit
83,[0 1 0 0 0],62,11,migration disk match migration database
85,[0 1 0 0 0],68,13,boolean true entire django project checked error
