index,class,comment_sentence,partition,combo,labels
0,BlAnchorRelativeToElement,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element,0,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element | blanchorrelativetoelement,"[0, 0, 1, 0, 0, 0]"
2,BlArrowheadSimpleArrow,i am a simple arrow like arrowhead,0,i am a simple arrow like arrowhead | blarrowheadsimplearrow,"[0, 0, 0, 1, 0, 0]"
3,BlArrowheadSimpleArrow,both my size and arrow length depend on the curve width,0,both my size and arrow length depend on the curve width | blarrowheadsimplearrow,"[0, 0, 0, 1, 0, 0]"
4,BlArrowheadSimpleArrow,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle,0,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle | blarrowheadsimplearrow,"[0, 0, 0, 0, 1, 0]"
8,BlArrowheadTriangle,i am a triangular arrow head,0,i am a triangular arrow head | blarrowheadtriangle,"[0, 0, 0, 1, 0, 0]"
10,BlArrowheadTriangle,it is possible to have a border around triangle by specifying a border width of a triangle arrowhead,0,it is possible to have a border around triangle by specifying a border width of a triangle arrowhead | blarrowheadtriangle,"[1, 0, 0, 0, 0, 0]"
13,BlArrowheadTriangle,for solid arrowhead make background paint be the same as border paint,0,for solid arrowhead make background paint be the same as border paint | blarrowheadtriangle,"[0, 0, 1, 0, 0, 0]"
16,BlChicken,blchicken open,0,blchicken open | blchicken,"[0, 1, 0, 0, 0, 0]"
21,BlChildrenCollection,i provide a data structure independent api for adding and removing children,0,i provide a data structure independent api for adding and removing children | blchildrencollection,"[0, 0, 1, 0, 0, 0]"
23,BlChildrenCollection,i allow elements to optimize working with children for different scenarious,0,i allow elements to optimize working with children for different scenarious | blchildrencollection,"[0, 0, 1, 0, 0, 0]"
26,BlChildrenCollection,a rope uses a balanced binary tree to support fast adding removing and accessing with the disadvantage of taking more memory,0,a rope uses a balanced binary tree to support fast adding removing and accessing with the disadvantage of taking more memory | blchildrencollection,"[0, 0, 1, 0, 0, 0]"
33,BlChildrenSubset,i capture a subset of children from a class blelement instance,0,i capture a subset of children from a class blelement instance | blchildrensubset,"[0, 0, 1, 0, 0, 0]"
34,BlChildrenSubset,i am an abstract class,0,i am an abstract class | blchildrensubset,"[0, 0, 0, 1, 0, 0]"
35,BlChildrenSubset,i exist to explicitly capture and combine various ways of filtering and iterating over children,0,i exist to explicitly capture and combine various ways of filtering and iterating over children | blchildrensubset,"[0, 0, 1, 0, 0, 0]"
40,BlChildrenSubset,i do not enforce a lazy api,0,i do not enforce a lazy api | blchildrensubset,"[0, 0, 0, 0, 1, 0]"
41,BlChildrenSubset,api,0,api | blchildrensubset,"[0, 0, 0, 0, 1, 0]"
42,BlChildrenSubset,instances of me are created by calling the factory method method blchildrensubset class on on a subclass with an instance of class blchildren as parameter,0,instances of me are created by calling the factory method method blchildrensubset class on on a subclass with an instance of class blchildren as parameter | blchildrensubset,"[0, 0, 0, 0, 1, 0]"
43,BlChildrenSubset,implementation details,0,implementation details | blchildrensubset,"[1, 0, 0, 0, 0, 0]"
47,BlClickEvent,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element,0,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element | blclickevent,"[1, 0, 1, 0, 0, 0]"
48,BlClickEvent,the order of fired events,0,the order of fired events | blclickevent,"[1, 0, 0, 0, 0, 0]"
50,BlClickEvent,mouse up,0,mouse up | blclickevent,"[1, 0, 0, 0, 0, 0]"
52,BlCompulsoryCombinationTest,this class contains tests,0,this class contains tests | blcompulsorycombinationtest,"[0, 0, 1, 0, 0, 0]"
58,BlDecelerateInterpolator,setting factor to 10f produces an upside down y x 2 parabola,0,setting factor to 10f produces an upside down y x 2 parabola | bldecelerateinterpolator,"[1, 0, 0, 0, 0, 0]"
60,BlDecelerateInterpolator,my formula is,0,my formula is | bldecelerateinterpolator,"[1, 0, 0, 0, 0, 0]"
68,BlDevScripterClickStep,here you can see how to configure a fire and check a click event on a child element,0,here you can see how to configure a fire and check a click event on a child element | bldevscripterclickstep,"[0, 1, 0, 0, 0, 0]"
69,BlDragDelegate,drag delegate provides drag items when a visual element lifts,0,drag delegate provides drag items when a visual element lifts | bldragdelegate,"[0, 0, 1, 0, 0, 0]"
70,BlDragDelegate,drag gesture fails if there are no drag items,0,drag gesture fails if there are no drag items | bldragdelegate,"[0, 0, 1, 0, 0, 0]"
71,BlElementBoundsExamples,i contain examples of element bounds api,0,i contain examples of element bounds api | blelementboundsexamples,"[0, 0, 1, 0, 0, 0]"
74,BlElementDynamicTransformation,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as extent or position,0,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as extent or position | blelementdynamictransformation,"[0, 0, 1, 1, 0, 0]"
75,BlElementDynamicTransformation,it means that matrix computation is performed only when requested taking owner element into account,0,it means that matrix computation is performed only when requested taking owner element into account | blelementdynamictransformation,"[1, 0, 0, 0, 0, 0]"
76,BlElementEffect,i am the abstract root class for effects,0,i am the abstract root class for effects | blelementeffect,"[0, 0, 0, 1, 0, 0]"
77,BlElementEffect,i define the default drawing strategy before after,0,i define the default drawing strategy before after | blelementeffect,"[0, 0, 1, 0, 0, 0]"
78,BlElementEffect,i can influence the bounds of my owner used to clip my owner,0,i can influence the bounds of my owner used to clip my owner | blelementeffect,"[0, 0, 1, 0, 0, 0]"
80,BlElementPositionChangeTest,i contain examples of position change logging functionality,0,i contain examples of position change logging functionality | blelementpositionchangetest,"[0, 0, 1, 0, 0, 0]"
81,BlElementRemovedEvent,is sent by an element after it is removed from the parent,0,is sent by an element after it is removed from the parent | blelementremovedevent,"[0, 0, 0, 0, 0, 1]"
85,BlElementRemovedEvent,child when blelementremovedevent do self inform removed from parent,0,child when blelementremovedevent do self inform removed from parent | blelementremovedevent,"[0, 1, 0, 0, 0, 0]"
86,BlElementRemovedEvent,parent blelement new,0,parent blelement new | blelementremovedevent,"[0, 1, 0, 0, 0, 0]"
87,BlElementRemovedEvent,parent addchild child,0,parent addchild child | blelementremovedevent,"[0, 1, 0, 0, 0, 0]"
90,BlExampleCustomEventTarget,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,0,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure | blexamplecustomeventtarget,"[0, 0, 1, 1, 0, 0]"
91,BlExampleElementWithBrokenOnLayout,i am an element with a broken onlayout method that throws error subscriptoutofbounds,0,i am an element with a broken onlayout method that throws error subscriptoutofbounds | blexampleelementwithbrokenonlayout,"[0, 0, 1, 1, 0, 0]"
92,BlExperimentalExamples,i contain experimental examples that only work in manually prepared laboratory environments,0,i contain experimental examples that only work in manually prepared laboratory environments | blexperimentalexamples,"[0, 0, 1, 0, 0, 0]"
94,BlFocusExamples,1 inspect run example,0,1 inspect run example | blfocusexamples,"[0, 1, 0, 0, 0, 0]"
95,BlFocusExamples,2 click one any cell to give it a focus blue border should appear,0,2 click one any cell to give it a focus blue border should appear | blfocusexamples,"[0, 1, 0, 0, 0, 0]"
97,BlGeometry,the geometry is used to define the geometry to be drawn and the interaction area,0,the geometry is used to define the geometry to be drawn and the interaction area | blgeometry,"[0, 0, 1, 0, 0, 1]"
98,BlGeometryAnchorListener,i am an event listener that listens anchor moved event send by anchor,0,i am an event listener that listens anchor moved event send by anchor | blgeometryanchorlistener,"[0, 0, 1, 1, 0, 1]"
99,BlGeometryAnchorMoved,i am sent when anchor s position changed,0,i am sent when anchor s position changed | blgeometryanchormoved,"[0, 0, 1, 0, 0, 0]"
100,BlGeometryElement,i am a root class of geometry elements elements driven by geometry anchors,0,i am a root class of geometry elements elements driven by geometry anchors | blgeometryelement,"[0, 0, 1, 1, 0, 0]"
103,BlGridLayout,a grid consists of cells that are separated by invisible lines,0,a grid consists of cells that are separated by invisible lines | blgridlayout,"[1, 0, 0, 0, 0, 0]"
105,BlGridLayout,indices lie in closed interval 1 n 1,0,indices lie in closed interval 1 n 1 | blgridlayout,"[1, 0, 0, 0, 0, 0]"
106,BlGridLayout,grid layout supports fitcontent matchparent and exact resizing mode of the owner,0,grid layout supports fitcontent matchparent and exact resizing mode of the owner | blgridlayout,"[1, 0, 0, 0, 0, 0]"
107,BlGridLayout,children are allowed to have fitcontent and exact resizing modes,0,children are allowed to have fitcontent and exact resizing modes | blgridlayout,"[1, 0, 0, 0, 0, 0]"
108,BlGridLayout,because child s matchparent does not make sense in case of grid users should use fill to declare that child should take all available cell s space,0,because child s matchparent does not make sense in case of grid users should use fill to declare that child should take all available cell s space | blgridlayout,"[1, 0, 0, 0, 0, 0]"
110,BlGridLayout,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout,0,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout | blgridlayout,"[1, 0, 0, 0, 0, 0]"
112,BlGridLayout,public api and key messages,0,public api and key messages | blgridlayout,"[0, 0, 0, 0, 1, 0]"
