index,class,comment_sentence,partition,combo,labels
1,AccessMixin,functionality,0,functionality | accessmixin,"[0, 0, 0, 0, 1]"
8,Atomic,when it s used as a decorator call wraps the execution of the,0,when it s used as a decorator call wraps the execution of the | atomic,"[1, 0, 0, 0, 0]"
12,Atomic,exit commits the transaction or releases the savepoint on normal exit,0,exit commits the transaction or releases the savepoint on normal exit | atomic,"[1, 0, 0, 0, 0]"
14,Atomic,it s possible to disable the creation of savepoints if the goal is to,0,it s possible to disable the creation of savepoints if the goal is to | atomic,"[1, 0, 0, 0, 0]"
16,Atomic,a stack of savepoints identifiers is maintained as an attribute of the,0,a stack of savepoints identifiers is maintained as an attribute of the | atomic,"[1, 0, 0, 0, 0]"
18,Atomic,none denotes the absence of a savepoint,0,none denotes the absence of a savepoint | atomic,"[1, 0, 0, 0, 0]"
24,AtomicTests,implementation there are only a few basic tests with the decorator,0,implementation there are only a few basic tests with the decorator | atomictests,"[0, 0, 0, 1, 0]"
27,AutoFieldMeta,it is intended that autofieldmixin become public api when it is possible to,0,it is intended that autofieldmixin become public api when it is possible to | autofieldmeta,"[0, 0, 0, 1, 0]"
29,AutoFieldMeta,stored in the database,0,stored in the database | autofieldmeta,"[0, 0, 0, 1, 0]"
31,AutoFieldMeta,automatically generated field as a subclass of autofield,0,automatically generated field as a subclass of autofield | autofieldmeta,"[1, 0, 0, 0, 0]"
33,AutoFieldMeta,to be implemented on field to be used instead,0,to be implemented on field to be used instead | autofieldmeta,"[1, 0, 0, 0, 0]"
34,AutoFieldMeta,when these issues have been addressed this metaclass could be used to,0,when these issues have been addressed this metaclass could be used to | autofieldmeta,"[0, 0, 1, 0, 0]"
38,BarAccount,a service specific account of type bar,0,a service specific account of type bar | baraccount,"[0, 0, 0, 0, 1]"
40,BaseCommand,derive,0,derive | basecommand,"[0, 0, 0, 0, 1]"
41,BaseCommand,use this class if you want access to all of the mechanisms which,0,use this class if you want access to all of the mechanisms which | basecommand,"[0, 0, 1, 0, 0]"
42,BaseCommand,parse the command line arguments and work out what code to call in,0,parse the command line arguments and work out what code to call in | basecommand,"[0, 0, 1, 0, 0]"
43,BaseCommand,response if you don t need to change any of that behavior,0,response if you don t need to change any of that behavior | basecommand,"[0, 0, 1, 0, 0]"
46,BaseCommand,the command parsing and execution behavior the normal flow works,0,the command parsing and execution behavior the normal flow works | basecommand,"[1, 0, 0, 0, 0]"
49,BaseCommand,django admin or manage py loads the command class,0,django admin or manage py loads the command class | basecommand,"[1, 0, 0, 0, 0]"
52,BaseCommand,the run from argv method calls create parser to get,0,the run from argv method calls create parser to get | basecommand,"[1, 0, 0, 0, 0]"
54,BaseCommand,any environment changes requested by options like,0,any environment changes requested by options like | basecommand,"[1, 0, 0, 0, 0]"
55,BaseCommand,pythonpath and then calls the execute method,0,pythonpath and then calls the execute method | basecommand,"[1, 0, 0, 0, 0]"
56,BaseCommand,passing the parsed arguments,0,passing the parsed arguments | basecommand,"[1, 0, 0, 0, 0]"
59,BaseCommand,calling the handle method with the parsed arguments any,0,calling the handle method with the parsed arguments any | basecommand,"[1, 0, 0, 0, 0]"
61,BaseCommand,output and if the command is intended to produce a block of,0,output and if the command is intended to produce a block of | basecommand,"[1, 0, 0, 0, 0]"
62,BaseCommand,sql statements will be wrapped in begin and commit,0,sql statements will be wrapped in begin and commit | basecommand,"[1, 0, 0, 0, 0]"
64,BaseCommand,if handle or execute raised any exception eg,0,if handle or execute raised any exception eg | basecommand,"[1, 0, 0, 0, 0]"
65,BaseCommand,commanderror run from argv will instead print an error,0,commanderror run from argv will instead print an error | basecommand,"[1, 0, 0, 0, 0]"
66,BaseCommand,message to stderr,0,message to stderr | basecommand,"[1, 0, 0, 0, 0]"
68,BaseCommand,subclasses many built in commands and command types either place,0,subclasses many built in commands and command types either place | basecommand,"[0, 0, 1, 0, 0]"
69,BaseCommand,all of their logic in handle or perform some additional,0,all of their logic in handle or perform some additional | basecommand,"[0, 0, 1, 0, 0]"
70,BaseCommand,parsing work in handle and then delegate from it to more,0,parsing work in handle and then delegate from it to more | basecommand,"[0, 0, 1, 0, 0]"
71,BaseCommand,specialized methods as needed,0,specialized methods as needed | basecommand,"[0, 0, 1, 0, 0]"
74,BaseCommand,a short description of the command which will be printed in,0,a short description of the command which will be printed in | basecommand,"[0, 1, 0, 0, 0]"
75,BaseCommand,output transaction,0,output transaction | basecommand,"[0, 1, 0, 0, 0]"
76,BaseCommand,a boolean indicating whether the command outputs sql,0,a boolean indicating whether the command outputs sql | basecommand,"[0, 1, 0, 0, 0]"
78,BaseCommand,wrapped with begin and commit,0,wrapped with begin and commit | basecommand,"[0, 1, 0, 0, 0]"
83,BaseCommand,migrations on disk don t match the migrations in the database,0,migrations on disk don t match the migrations in the database | basecommand,"[0, 1, 0, 0, 0]"
85,BaseCommand,a boolean if true entire django project will be checked for errors,0,a boolean if true entire django project will be checked for errors | basecommand,"[0, 1, 0, 0, 0]"
86,BaseCommand,prior to executing the command,0,prior to executing the command | basecommand,"[0, 1, 0, 0, 0]"
87,BaseCommand,to validate an individual application s models,0,to validate an individual application s models | basecommand,"[0, 1, 0, 0, 0]"
91,BaseCommand,app registry,0,app registry | basecommand,"[0, 1, 0, 0, 0]"
92,BaseDatabaseSchemaEditor,this class and its subclasses are responsible for emitting schema changing,0,this class and its subclasses are responsible for emitting schema changing | basedatabaseschemaeditor,"[0, 0, 1, 0, 1]"
93,BaseDatabaseSchemaEditor,statements to the databases model creation removal alteration field,0,statements to the databases model creation removal alteration field | basedatabaseschemaeditor,"[0, 0, 1, 0, 1]"
94,BaseDatabaseSchemaEditor,renaming index fiddling and so on,0,renaming index fiddling and so on | basedatabaseschemaeditor,"[0, 0, 1, 0, 1]"
95,BaseExpression,base class for all query expressions,0,base class for all query expressions | baseexpression,"[0, 0, 0, 0, 1]"
97,BaseUpdateView,using this base class requires subclassing to provide a response mixin,0,using this base class requires subclassing to provide a response mixin | baseupdateview,"[0, 0, 1, 0, 0]"
98,BaseYearArchiveView,list of objects published in a given year,0,list of objects published in a given year | baseyeararchiveview,"[0, 0, 0, 0, 1]"
99,BCryptSHA256PasswordHasher,secure password hashing using the bcrypt algorithm recommended,0,secure password hashing using the bcrypt algorithm recommended | bcryptsha256passwordhasher,"[0, 0, 0, 0, 1]"
101,BCryptSHA256PasswordHasher,must first install the bcrypt library,0,must first install the bcrypt library | bcryptsha256passwordhasher,"[1, 0, 0, 0, 0]"
103,BoundWidget,this is useful for,0,this is useful for | boundwidget,"[0, 0, 1, 0, 0]"
105,BoundWidget,for example the following can be used in a,0,for example the following can be used in a | boundwidget,"[1, 0, 0, 0, 0]"
109,BoundWidget,radio choice label,0,radio choice label | boundwidget,"[1, 0, 0, 0, 0]"
111,BoundWidget,label,0,label | boundwidget,"[1, 0, 0, 0, 0]"
112,BoundWidget,endfor,0,endfor | boundwidget,"[1, 0, 0, 0, 0]"
114,CacheHandler,ensure only one instance of each alias exists per thread,0,ensure only one instance of each alias exists per thread | cachehandler,"[0, 0, 0, 1, 0]"
115,Choices,class for creating enumerated choices,0,class for creating enumerated choices | choices,"[0, 1, 0, 0, 1]"
117,ChunkIter,given a file like object as the,0,given a file like object as the | chunkiter,"[0, 0, 0, 1, 0]"
119,Client,a class that can act as a client for testing purposes,0,a class that can act as a client for testing purposes | client,"[0, 0, 0, 0, 1]"
120,Client,it allows the user to compose get and post requests and,0,it allows the user to compose get and post requests and | client,"[0, 0, 0, 1, 0]"
122,Client,the server response objects are annotated with the details,0,the server response objects are annotated with the details | client,"[0, 0, 0, 1, 0]"
124,Client,process of serving the request,0,process of serving the request | client,"[0, 0, 0, 1, 0]"
126,Client,thus session details for the lifetime of the client instance,0,thus session details for the lifetime of the client instance | client,"[0, 0, 0, 1, 0]"
127,Client,this is not intended as a replacement for twill selenium or,0,this is not intended as a replacement for twill selenium or | client,"[0, 0, 1, 0, 0]"
129,Client,contexts and templates produced by a view rather than the,0,contexts and templates produced by a view rather than the | client,"[0, 0, 1, 0, 0]"
130,Client,html rendered to the end user,0,html rendered to the end user | client,"[0, 0, 1, 0, 0]"
131,Combinable,provide the ability to combine one or two objects with,0,provide the ability to combine one or two objects with | combinable,"[0, 0, 0, 0, 1]"
132,Combinable,some connector,0,some connector | combinable,"[0, 0, 0, 0, 1]"
133,Combinable,for example f foo f bar,0,for example f foo f bar | combinable,"[1, 0, 0, 0, 0]"
140,CustomArticleAdmin,tests various hooks for using custom templates and contexts,0,tests various hooks for using custom templates and contexts | customarticleadmin,"[0, 0, 0, 0, 1]"
141,CustomCacheKeyValidationTests,tests for the ability to mixin a custom validate key method to,0,tests for the ability to mixin a custom validate key method to | customcachekeyvalidationtests,"[0, 0, 0, 0, 1]"
144,CustomCacheKeyValidationTests,backend and override the default key validation,0,backend and override the default key validation | customcachekeyvalidationtests,"[0, 0, 0, 1, 0]"
145,CustomHeaderRemoteUserTest,tests a custom remoteusermiddleware subclass with custom http auth user,0,tests a custom remoteusermiddleware subclass with custom http auth user | customheaderremoteusertest,"[0, 1, 0, 0, 1]"
146,DatabaseReceiver,used in the tests for the database argument in signals 13552,0,used in the tests for the database argument in signals 13552 | databasereceiver,"[0, 0, 0, 0, 1]"
148,DisallowedModelAdminToField,invalid to field was passed to admin view via url query string,0,invalid to field was passed to admin view via url query string | disallowedmodeladmintofield,"[0, 0, 0, 0, 1]"
149,DjangoHTMLTranslator,django specific rest to html tweaks,0,django specific rest to html tweaks | djangohtmltranslator,"[0, 0, 0, 0, 1]"
154,ExceptionThatFailsUnpickling,after pickling this class fails unpickling with an error about incorrect,0,after pickling this class fails unpickling with an error about incorrect | exceptionthatfailsunpickling,"[0, 0, 0, 0, 1]"
155,ExceptionThatFailsUnpickling,arguments passed to init,0,arguments passed to init | exceptionthatfailsunpickling,"[0, 0, 0, 0, 1]"
156,FakePayload,a wrapper around bytesio that restricts what can be read since data from,0,a wrapper around bytesio that restricts what can be read since data from | fakepayload,"[0, 0, 0, 0, 1]"
157,FakePayload,the network can t be sought and cannot be read outside of its content,0,the network can t be sought and cannot be read outside of its content | fakepayload,"[0, 0, 0, 0, 1]"
158,FakePayload,length,0,length | fakepayload,"[0, 0, 0, 0, 1]"
159,FakePayload,this makes sure that views can t do anything under the test client,0,this makes sure that views can t do anything under the test client | fakepayload,"[0, 0, 0, 1, 0]"
161,FallbackStorage,try to store all messages in the first backend,0,try to store all messages in the first backend | fallbackstorage,"[0, 0, 0, 1, 0]"
162,FallbackStorage,store any unstored,0,store any unstored | fallbackstorage,"[0, 0, 0, 1, 0]"
164,FootNote,model added for ticket 19838,0,model added for ticket 19838 | footnote,"[0, 0, 1, 0, 0]"
166,Group,table column fields,0,table column fields | group,"[0, 0, 0, 0, 1]"
167,GZipMiddleware,on the accept encoding header,0,on the accept encoding header | gzipmiddleware,"[0, 0, 0, 0, 1]"
168,HiddenRangeWidget,a widget that splits input into two input type hidden inputs,0,a widget that splits input into two input type hidden inputs | hiddenrangewidget,"[0, 0, 0, 0, 1]"
170,ImageFileDescriptor,the only difference is,0,the only difference is | imagefiledescriptor,"[0, 0, 0, 1, 0]"
171,ImageFileDescriptor,assigning the width height to the width field height field if appropriate,0,assigning the width height to the width field height field if appropriate | imagefiledescriptor,"[0, 0, 0, 1, 0]"
172,IncompleteCategoryFormWithExclude,a form that replaces the model s url field with a custom one,0,a form that replaces the model s url field with a custom one | incompletecategoryformwithexclude,"[0, 0, 0, 0, 1]"
