index,comment_sentence,labels,drop_reason
142,cluster.,[0 0 1 0 0 0 0],Token Count (1)
150,fsnamesystem.,[1 0 0 0 0 0 0],Token Count (1)
179,fairscheduler,[1 0 0 0 1 0 0],Token Count (1)
181,if,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
242,skyline.,[1 0 0 0 0 0 0],Token Count (1)
275,mapper,[0 0 1 0 0 0 0],Token Count (1)
278,reducer,[0 0 1 0 0 0 0],Token Count (1)
303,it,[1 0 0 0 0 0 0],Too Tiny (<6 alpha)
339,constraints,[0 0 1 0 0 0 0],Token Count (1)
340,1,[0 0 1 0 0 0 0],Too Tiny (<6 alpha)
344,3,[0 0 1 0 0 0 0],Too Tiny (<6 alpha)
349,directory.,[0 0 1 0 0 0 0],Token Count (1)
456,.,[0 0 1 0 0 0 0],Too Tiny (<6 alpha)
481,instead.,[0 0 1 0 1 0 0],Token Count (1)
552,"false, 392",[0 0 1 0 0 0 0],Too Tiny (<6 alpha)
602,message.,[1 0 0 0 0 0 0],Token Count (1)
626,@since 32,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
659,where,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
675,@since 12.1,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
678,@since 83,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
701,@since 22,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
707,@since 22,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
712,@since 52,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
717,@since 12,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
728,c srcs,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
749,itself.,[0 0 0 1 0 0 0],Token Count (1)
766,c srcs,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
833,@since 66,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
841,@since 50,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
844,@since 26,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
864,@since 53,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
881,@since 42,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
923,@since 51,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
957,information.,[0 0 0 1 1 0 0],Token Count (1)
960,.,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
966,.,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
969,.,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
992,@since 21,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
1029,termination.,[0 0 0 1 0 0 0],Token Count (1)
1036,@link,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
1057,returned.,[0 0 1 0 0 0 0],Token Count (1)
1068,@since 120,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
1070,arraylistmultimap .,[1 0 0 0 0 0 0],Token Count (1)
1127,build,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
1137,build,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
1152,concurrentmodificationexception .,[0 0 0 1 1 0 0],Token Count (1)
1182,writes.,[0 0 0 1 0 0 0],Token Count (1)
1201,#removallistener,[0 0 0 1 0 0 0],Token Count (1)
1204,@since 100,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
1221,@since 20,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
1229,settestsuitebuilder .,[1 0 0 0 1 0 0],Token Count (1)
1269,@since 100,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
1278,an,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
1319,serializers.,[1 0 0 0 0 0 0],Token Count (1)
1389,@since 20,[0 1 0 0 0 0 0],Too Tiny (<6 alpha)
1472,@since 20,[0 0 0 0 0 1 0],Too Tiny (<6 alpha)
1557,permits?,[0 0 0 1 0 0 0],Token Count (1)
1567,the,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
1569,storedpermits,[0 0 0 1 0 0 0],Token Count (1)
1576,integrals .,[0 0 0 1 0 0 0],Token Count (1)
1578,underutilization.,[0 0 0 1 0 0 0],Token Count (1)
1583,a much,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
1607,^ throttling,[0 0 1 0 0 0 0],Token Count (1)
