index,comment_sentence,labels,drop_reason
41,api,[0 0 0 0 1 0],Too Tiny (<6 alpha)
127,registry,[0 1 0 0 0 0],Token Count (1)
259,10@50.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
263,80@140,[0 1 0 0 0 0],Too Tiny (<6 alpha)
329,conslusion,[0 1 0 0 0 0],Token Count (1)
349,toggles,[0 1 0 0 0 0],Token Count (1)
360,accordion,[0 1 0 0 0 0],Token Count (1)
361,tabs,[0 1 0 0 0 0],Too Tiny (<6 alpha)
363,toolbar,[0 1 0 0 0 0],Token Count (1)
367,list,[0 1 0 0 0 0],Too Tiny (<6 alpha)
403,done,[0 1 0 0 0 0],Too Tiny (<6 alpha)
423,diagrammer,[0 1 0 0 0 0],Token Count (1)
425,picker,[0 1 0 0 0 0],Token Count (1)
427,world .,[0 1 0 0 0 0],Too Tiny (<6 alpha)
559,installer,[0 1 0 0 0 0],Token Count (1)
560,extension .,[0 1 0 0 0 0],Token Count (1)
616,overview,[0 0 1 0 0 0],Token Count (1)
655,close,[0 1 0 0 0 0],Too Tiny (<6 alpha)
685,draw.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
699,draw.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
720,tspartapaint,[0 0 1 0 0 0],Token Count (1)
722,overview,[0 0 1 0 0 0],Token Count (1)
759,g,[0 1 0 0 0 0],Too Tiny (<6 alpha)
775,model.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
794,description,[0 0 0 1 0 0],Token Count (1)
809,examples,[0 1 0 0 0 0],Token Count (1)
812,description,[0 0 0 1 0 0],Token Count (1)
814,examples,[0 1 0 0 0 0],Token Count (1)
815,printer,[0 1 0 0 0 0],Token Count (1)
821,examples,[0 1 0 0 0 0],Token Count (1)
825,description,[0 0 0 1 0 0],Token Count (1)
855,incoming,[0 0 0 0 1 0],Token Count (1)
856,level,[0 0 0 0 1 0],Too Tiny (<6 alpha)
858,outgoing,[0 0 0 0 1 0],Token Count (1)
859,parent,[0 0 0 0 1 0],Token Count (1)
